
#       Pokémon		HP	Attack	Defense	Total	Average	Max CP
001	Bulbasaur	Bulbasaur	128	118	111	357	119	1115
002	Ivysaur	Ivysaur	155	151	143	449	149.67	1699
003	Venusaur	Venusaur	190	198	189	577	192.33	2720
004	Charmander	Charmander	118	116	93	327	109	980
005	Charmeleon	Charmeleon	151	158	126	435	145	1653
006	Charizard	Charizard	186	223	173	582	194	2889
007	Squirtle	Squirtle	127	94	121	342	114	946
008	Wartortle	Wartortle	153	126	155	434	144.67	1488
009	Blastoise	Blastoise	188	171	207	566	188.67	2466
010	Caterpie	Caterpie	128	55	55	238	79.33	437
011	Metapod	Metapod	137	45	80	262	87.33	450
012	Butterfree	Butterfree	155	167	137	459	153	1827
013	Weedle	Weedle	120	63	50	233	77.67	456
014	Kakuna	Kakuna	128	46	75	249	83	432
015	Beedrill	Beedrill	163	169	130	462	154	1846
016	Pidgey	Pidgey	120	85	73	278	92.67	680
017	Pidgeotto	Pidgeotto	160	117	105	382	127.33	1194
018	Pidgeot	Pidgeot	195	166	154	515	171.67	2129
019	Rattata	Rattata	102	103	70	275	91.67	734
019A	Rattata	Rattata	102	103	70	275	91.67	734
020	Raticate	Raticate	146	161	139	446	148.67	1730
020A	Raticate	Raticate	181	135	154	470	156.67	1705
021	Spearow	Spearow	120	112	60	292	97.33	798
022	Fearow	Fearow	163	182	133	478	159.33	1997
023	Ekans	Ekans	111	110	97	318	106	927
024	Arbok	Arbok	155	167	153	475	158.33	1921
025	Pikachu	Pikachu	111	112	96	319	106.33	938
026	Raichu	Raichu	155	193	151	499	166.33	2182
026A	Raichu	Raichu	155	201	154	510	170	2286
027	Sandshrew	Sandshrew	137	126	120	383	127.67	1261
027A	Sandshrew	Sandshrew	137	125	129	391	130.33	1293
028	Sandslash	Sandslash	181	182	175	538	179.33	2374
028A	Sandslash	Sandslash	181	177	195	553	184.33	2432
029	Nidoran♀	Nidoran♀	146	86	89	321	107	816
030	Nidorina	Nidorina	172	117	120	409	136.33	1309
031	Nidoqueen	Nidoqueen	207	180	173	560	186.67	2488
032	Nidoran♂	Nidoran♂	130	105	76	311	103.67	860
033	Nidorino	Nidorino	156	137	111	404	134.67	1393
034	Nidoking	Nidoking	191	204	156	551	183.67	2567
035	Clefairy	Clefairy	172	107	108	387	129	1155
036	Clefable	Clefable	216	178	162	556	185.33	2437
037	Vulpix	Vulpix	116	96	109	321	107	883
037A	Vulpix	Vulpix	116	96	109	321	107	883
038	Ninetales	Ninetales	177	169	190	536	178.67	2279
038A	Ninetales	Ninetales	177	170	193	540	180	2309
039	Jigglypuff	Jigglypuff	251	80	41	372	124	724
040	Wigglytuff	Wigglytuff	295	156	90	541	180.33	1926
041	Zubat	Zubat	120	83	73	276	92	667
042	Golbat	Golbat	181	161	150	492	164	1976
043	Oddish	Oddish	128	131	112	371	123.67	1228
044	Gloom	Gloom	155	153	136	444	148	1681
045	Vileplume	Vileplume	181	202	167	550	183.33	2559
046	Paras	Paras	111	121	99	331	110.33	1018
047	Parasect	Parasect	155	165	146	466	155.33	1859
048	Venonat	Venonat	155	100	100	355	118.33	1004
049	Venomoth	Venomoth	172	179	143	494	164.67	2082
050	Diglett	Diglett	67	109	78	254	84.67	676
050A	Diglett	Diglett	67	108	81	256	85.33	681
051	Dugtrio	Dugtrio	111	167	134	412	137.33	1557
051A	Dugtrio	Dugtrio	111	201	142	454	151.33	1897
052	Meowth	Meowth	120	92	78	290	96.67	748
052A	Meowth	Meowth	120	99	78	297	99	797
053	Persian	Persian	163	150	136	449	149.67	1689
053A	Persian	Persian	163	158	136	457	152.33	1771
054	Psyduck	Psyduck	137	122	95	354	118	1106
055	Golduck	Golduck	190	191	162	543	181	2450
056	Mankey	Mankey	120	148	82	350	116.67	1164
057	Primeape	Primeape	163	207	138	508	169.33	2288
058	Growlithe	Growlithe	146	136	93	375	125	1243
059	Arcanine	Arcanine	207	227	166	600	200	3029
060	Poliwag	Poliwag	120	101	82	303	101	829
061	Poliwhirl	Poliwhirl	163	130	123	416	138.67	1419
062	Poliwrath	Poliwrath	207	182	184	573	191	2586
063	Abra	Abra	93	195	82	370	123.33	1342
064	Kadabra	Kadabra	120	232	117	469	156.33	2059
065	Alakazam	Alakazam	146	271	167	584	194.67	3057
066	Machop	Machop	172	137	82	391	130.33	1278
067	Machoke	Machoke	190	177	125	492	164	2031
068	Machamp	Machamp	207	234	159	600	200	3056
069	Bellsprout	Bellsprout	137	139	61	337	112.33	1033
070	Weepinbell	Weepinbell	163	172	92	427	142.33	1611
071	Victreebel	Victreebel	190	207	135	532	177.33	2431
072	Tentacool	Tentacool	120	97	149	366	122	1040
073	Tentacruel	Tentacruel	190	166	209	565	188.33	2422
074	Geodude	Geodude	120	132	132	384	128	1293
074A	Geodude	Geodude	120	132	132	384	128	1293
075	Graveler	Graveler	146	164	164	474	158	1897
075A	Graveler	Graveler	146	164	164	474	158	1897
076	Golem	Golem	190	211	198	599	199.67	2949
076A	Golem	Golem	190	211	198	599	199.67	2949
077	Ponyta	Ponyta	137	170	127	434	144.67	1697
078	Rapidash	Rapidash	163	207	162	532	177.33	2461
079	Slowpoke	Slowpoke	207	109	98	414	138	1226
080	Slowbro	Slowbro	216	177	180	573	191	2545
081	Magnemite	Magnemite	93	165	121	379	126.33	1362
082	Magneton	Magneton	137	223	169	529	176.33	2485
083	Farfetchd	Farfetchd	141	124	115	380	126.67	1236
084	Doduo	Doduo	111	158	83	352	117.33	1200
085	Dodrio	Dodrio	155	218	140	513	171	2362
086	Seel	Seel	163	85	121	369	123	971
087	Dewgong	Dewgong	207	139	177	523	174.33	1985
088	Grimer	Grimer	190	135	90	415	138.33	1374
088A	Grimer	Grimer	190	135	90	415	138.33	1374
089	Muk	Muk	233	190	172	595	198.33	2757
089A	Muk	Muk	233	190	172	595	198.33	2757
090	Shellder	Shellder	102	116	134	352	117.33	1080
091	Cloyster	Cloyster	137	186	256	579	193	2547
092	Gastly	Gastly	102	186	67	355	118.33	1229
093	Haunter	Haunter	128	223	107	458	152.67	1963
094	Gengar	Gengar	155	261	149	565	188.33	2878
095	Onix	Onix	111	85	232	428	142.67	1101
096	Drowzee	Drowzee	155	89	136	380	126.67	1040
097	Hypno	Hypno	198	144	193	535	178.33	2090
098	Krabby	Krabby	102	181	124	407	135.67	1561
099	Kingler	Kingler	146	240	181	567	189	2829
100	Voltorb	Voltorb	120	109	111	340	113.33	1010
101	Electrode	Electrode	155	173	173	501	167	2099
102	Exeggcute	Exeggcute	155	107	125	387	129	1175
103	Exeggutor	Exeggutor	216	233	149	598	199.33	3014
103A	Exeggutor	Exeggutor	216	230	153	599	199.67	3014
104	Cubone	Cubone	137	90	144	371	123.67	1019
105	Marowak	Marowak	155	144	186	485	161.67	1835
105A	Marowak	Marowak	155	144	186	485	161.67	1835
106	Hitmonlee	Hitmonlee	137	224	181	542	180.67	2576
